zip,city,county,state,latitude,longitude,source
00501,Holtsville,Suffolk,NY,40.8154,-73.0451,geonames
00544,Holtsville,Suffolk,NY,40.8154,-73.0451,geonames
06390,Fishers Island,Suffolk,NY,41.2639,-72.0178,geonames
10001,New York,New York,NY,40.7484,-73.9967,geonames
10002,New York,New York,NY,40.7152,-73.9877,geonames
10003,New York,New York,NY,40.7313,-73.9892,geonames
10004,New York,New York,NY,40.7143,-74.0060,geonames
10005,New York,New York,NY,40.7056,-74.0083,geonames
10006,New York,New York,NY,40.7085,-74.0135,geonames
10007,New York,New York,NY,40.7139,-74.0070,geonames
10008,New York,New York,NY,40.7143,-74.0060,geonames
10009,New York,New York,NY,40.7262,-73.9796,geonames
10010,New York,New York,NY,40.7375,-73.9813,geonames
10011,New York,New York,NY,40.7402,-73.9996,geonames
10012,New York,New York,NY,40.7255,-73.9983,geonames
10013,New York,New York,NY,40.7185,-74.0025,geonames
10014,New York,New York,NY,40.7339,-74.0054,geonames
10016,New York,New York,NY,40.7443,-73.9781,geonames
10017,New York,New York,NY,40.7517,-73.9707,geonames
10018,New York,New York,NY,40.7547,-73.9925,geonames
10019,New York,New York,NY,40.7651,-73.9858,geonames
10020,New York,New York,NY,40.7354,-73.9968,geonames
10021,New York,New York,NY,40.7685,-73.9588,geonames
10022,New York,New York,NY,40.7571,-73.9657,geonames
10023,New York,New York,NY,40.7764,-73.9827,geonames
10024,New York,New York,NY,40.7864,-73.9764,geonames
10025,New York,New York,NY,40.7975,-73.9683,geonames
10026,New York,New York,NY,40.8019,-73.9531,geonames
10027,New York,New York,NY,40.8116,-73.9550,geonames
10028,New York,New York,NY,40.7763,-73.9529,geonames
10029,New York,New York,NY,40.7918,-73.9447,geonames
10030,New York,New York,NY,40.8183,-73.9426,geonames
10031,New York,New York,NY,40.8246,-73.9507,geonames
10032,New York,New York,NY,40.8382,-73.9420,geonames
10033,New York,New York,NY,40.8496,-73.9356,geonames
10034,New York,New York,NY,40.8662,-73.9221,geonames
10035,New York,New York,NY,40.8011,-73.9371,geonames
10036,New York,New York,NY,40.7597,-73.9918,geonames
10037,New York,New York,NY,40.8135,-73.9381,geonames
10038,New York,New York,NY,40.7101,-74.0013,geonames
10039,New York,New York,NY,40.8265,-73.9383,geonames
10040,New York,New York,NY,40.8583,-73.9296,geonames
10041,New York,New York,NY,40.7038,-74.0098,geonames
10043,New York,New York,NY,40.7143,-74.0060,geonames
10044,New York,New York,NY,40.7618,-73.9505,geonames
10045,New York,New York,NY,40.7086,-74.0087,geonames
10055,New York,New York,NY,40.7808,-73.9772,geonames
10060,New York,New York,NY,40.7808,-73.9772,geonames
10065,New York,New York,NY,40.7651,-73.9638,geonames
10069,New York,New York,NY,40.7780,-73.9884,geonames
10075,New York,New York,NY,40.7143,-74.0060,geonames
10080,New York,New York,NY,40.7143,-74.0060,geonames
10081,New York,New York,NY,40.7143,-74.0060,geonames
10087,New York,New York,NY,40.7808,-73.9772,geonames
10090,New York,New York,NY,40.7808,-73.9772,geonames
10101,New York,New York,NY,40.7808,-73.9772,geonames
10102,New York,New York,NY,40.7808,-73.9772,geonames
10103,New York,New York,NY,40.7603,-73.9762,geonames
10104,New York,New York,NY,40.7609,-73.9799,geonames
10105,New York,New York,NY,40.7628,-73.9785,geonames
10106,New York,New York,NY,40.7652,-73.9804,geonames
10107,New York,New York,NY,40.7664,-73.9827,geonames
10108,New York,New York,NY,40.7808,-73.9772,geonames
10109,New York,New York,NY,40.7808,-73.9772,geonames
10110,New York,New York,NY,40.7540,-73.9808,geonames
10111,New York,New York,NY,40.7592,-73.9778,geonames
10112,New York,New York,NY,40.7593,-73.9798,geonames
10113,New York,New York,NY,40.7808,-73.9772,geonames
10114,New York,New York,NY,40.7808,-73.9772,geonames
10115,New York,New York,NY,40.8111,-73.9642,geonames
10116,New York,New York,NY,40.7808,-73.9772,geonames
10117,New York,New York,NY,40.7808,-73.9772,geonames
10118,New York,New York,NY,40.7490,-73.9865,geonames
10119,New York,New York,NY,40.7808,-73.9772,geonames
10120,New York,New York,NY,40.7506,-73.9894,geonames
10121,New York,New York,NY,40.7496,-73.9919,geonames
10122,New York,New York,NY,40.7518,-73.9922,geonames
10123,New York,New York,NY,40.7515,-73.9905,geonames
10124,New York,New York,NY,40.7808,-73.9772,geonames
10125,New York,New York,NY,40.7808,-73.9772,geonames
10126,New York,New York,NY,40.7808,-73.9772,geonames
10128,New York,New York,NY,40.7816,-73.9511,geonames
10129,New York,New York,NY,40.7808,-73.9772,geonames
10130,New York,New York,NY,40.7808,-73.9772,geonames
10131,New York,New York,NY,40.7808,-73.9772,geonames
10132,New York,New York,NY,40.7808,-73.9772,geonames
10133,New York,New York,NY,40.7808,-73.9772,geonames
10138,New York,New York,NY,40.7808,-73.9772,geonames
10150,New York,New York,NY,40.7808,-73.9772,geonames
10151,New York,New York,NY,40.7634,-73.9740,geonames
10152,New York,New York,NY,40.7589,-73.9730,geonames
10153,New York,New York,NY,40.7641,-73.9735,geonames
10154,New York,New York,NY,40.7583,-73.9735,geonames
10155,New York,New York,NY,40.7611,-73.9680,geonames
10156,New York,New York,NY,40.7808,-73.9772,geonames
10157,New York,New York,NY,40.7808,-73.9772,geonames
10158,New York,New York,NY,40.7494,-73.9758,geonames
10159,New York,New York,NY,40.7808,-73.9772,geonames
10160,New York,New York,NY,40.7808,-73.9772,geonames
10161,New York,New York,NY,40.7808,-73.9772,geonames
10162,New York,New York,NY,40.7699,-73.9511,geonames
10163,New York,New York,NY,40.7808,-73.9772,geonames
10164,New York,New York,NY,40.7808,-73.9772,geonames
10165,New York,New York,NY,40.7524,-73.9791,geonames
10166,New York,New York,NY,40.7546,-73.9762,geonames
10167,New York,New York,NY,40.7549,-73.9750,geonames
10168,New York,New York,NY,40.7519,-73.9768,geonames
10169,New York,New York,NY,40.7547,-73.9766,geonames
10170,New York,New York,NY,40.7526,-73.9755,geonames
10171,New York,New York,NY,40.7564,-73.9748,geonames
10172,New York,New York,NY,40.7558,-73.9753,geonames
10173,New York,New York,NY,40.7543,-73.9796,geonames
10174,New York,New York,NY,40.7517,-73.9752,geonames
10175,New York,New York,NY,40.7543,-73.9798,geonames
10176,New York,New York,NY,40.7556,-73.9789,geonames
10177,New York,New York,NY,40.7553,-73.9761,geonames
10178,New York,New York,NY,40.7514,-73.9785,geonames
10179,New York,New York,NY,40.7808,-73.9772,geonames
10185,New York,New York,NY,40.7808,-73.9772,geonames
10199,New York,New York,NY,40.7503,-74.0006,geonames
10203,New York,New York,NY,40.7143,-74.0060,geonames
10211,New York,New York,NY,40.7808,-73.9772,geonames
10212,New York,New York,NY,40.7143,-74.0060,geonames
10213,New York,New York,NY,40.7143,-74.0060,geonames
10242,New York,New York,NY,40.7143,-74.0060,geonames
10249,New York,New York,NY,40.7143,-74.0060,geonames
10256,New York,New York,NY,40.7143,-74.0060,geonames
10258,New York,New York,NY,40.7143,-74.0060,geonames
10259,New York,New York,NY,40.7143,-74.0060,geonames
10260,New York,New York,NY,40.7143,-74.0060,geonames
10261,New York,New York,NY,40.7808,-73.9772,geonames
10265,New York,New York,NY,40.7143,-74.0060,geonames
10268,New York,New York,NY,40.7808,-73.9772,geonames
10269,New York,New York,NY,40.7808,-73.9772,geonames
10270,New York,New York,NY,40.7069,-74.0082,geonames
10271,New York,New York,NY,40.7089,-74.0111,geonames
10272,New York,New York,NY,40.7808,-73.9772,geonames
10273,New York,New York,NY,40.7143,-74.0060,geonames
10274,New York,New York,NY,40.7808,-73.9772,geonames
10275,New York,New York,NY,40.7808,-73.9772,geonames
10276,New York,New York,NY,40.7808,-73.9772,geonames
10277,New York,New York,NY,40.7808,-73.9772,geonames
10278,New York,New York,NY,40.7152,-74.0038,geonames
10279,New York,New York,NY,40.7127,-74.0078,geonames
10280,New York,New York,NY,40.7105,-74.0163,geonames
10281,New York,New York,NY,40.7146,-74.0150,geonames
10282,New York,New York,NY,40.7166,-74.0146,geonames
10285,New York,New York,NY,40.7143,-74.0060,geonames
10286,New York,New York,NY,40.7142,-74.0119,geonames
10301,Staten Island,Richmond,NY,40.6316,-74.0927,geonames
10302,Staten Island,Richmond,NY,40.6306,-74.1379,geonames
10303,Staten Island,Richmond,NY,40.6301,-74.1607,geonames
10304,Staten Island,Richmond,NY,40.6102,-74.0878,geonames
10305,Staten Island,Richmond,NY,40.5973,-74.0768,geonames
10306,Staten Island,Richmond,NY,40.5682,-74.1184,geonames
10307,Staten Island,Richmond,NY,40.5085,-74.2445,geonames
10308,Staten Island,Richmond,NY,40.5518,-74.1526,geonames
10309,Staten Island,Richmond,NY,40.5352,-74.2116,geonames
10310,Staten Island,Richmond,NY,40.6324,-74.1171,geonames
10311,Staten Island,Richmond,NY,40.6052,-74.1795,geonames
10312,Staten Island,Richmond,NY,40.5457,-74.1792,geonames
10313,Staten Island,Richmond,NY,40.5644,-74.1468,geonames
10314,Staten Island,Richmond,NY,40.6039,-74.1472,geonames
10451,Bronx,Bronx,NY,40.8222,-73.9217,geonames
10452,Bronx,Bronx,NY,40.8376,-73.9216,geonames
10453,Bronx,Bronx,NY,40.8520,-73.9129,geonames
10454,Bronx,Bronx,NY,40.8085,-73.9198,geonames
10455,Bronx,Bronx,NY,40.8153,-73.9072,geonames
10456,Bronx,Bronx,NY,40.8316,-73.9099,geonames
10457,Bronx,Bronx,NY,40.8486,-73.8999,geonames
10458,Bronx,Bronx,NY,40.8633,-73.8895,geonames
10459,Bronx,Bronx,NY,40.8247,-73.8940,geonames
10460,Bronx,Bronx,NY,40.8409,-73.8794,geonames
10461,Bronx,Bronx,NY,40.8465,-73.8410,geonames
10462,Bronx,Bronx,NY,40.8434,-73.8602,geonames
10463,Bronx,Bronx,NY,40.8798,-73.9067,geonames
10464,Bronx,Bronx,NY,40.8469,-73.7874,geonames
10465,Bronx,Bronx,NY,40.8261,-73.8196,geonames
10466,Bronx,Bronx,NY,40.8904,-73.8503,geonames
10467,Bronx,Bronx,NY,40.8737,-73.8712,geonames
10468,Bronx,Bronx,NY,40.8662,-73.9003,geonames
10469,Bronx,Bronx,NY,40.8702,-73.8495,geonames
10470,Bronx,Bronx,NY,40.9000,-73.8622,geonames
10471,Bronx,Bronx,NY,40.9011,-73.9053,geonames
10472,Bronx,Bronx,NY,40.8295,-73.8716,geonames
10473,Bronx,Bronx,NY,40.8194,-73.8606,geonames
10474,Bronx,Bronx,NY,40.8139,-73.8841,geonames
10475,Bronx,Bronx,NY,40.8729,-73.8278,geonames
10501,Amawalk,Westchester,NY,41.2946,-73.7611,geonames
10502,Ardsley,Westchester,NY,41.0113,-73.8413,geonames
10503,Ardsley On Hudson,Westchester,NY,41.0259,-73.8718,geonames
10504,Armonk,Westchester,NY,41.1360,-73.7009,geonames
10505,Baldwin Place,Westchester,NY,41.3421,-73.7454,geonames
10506,Bedford,Westchester,NY,41.1909,-73.6355,geonames
10507,Bedford Hills,Westchester,NY,41.2344,-73.6915,geonames
10509,Brewster,Putnam,NY,41.4097,-73.5992,geonames
10510,Briarcliff Manor,Westchester,NY,41.1444,-73.8350,geonames
10511,Buchanan,Westchester,NY,41.2583,-73.9412,geonames
10512,Carmel,Putnam,NY,41.4432,-73.6815,geonames
10514,Chappaqua,Westchester,NY,41.1705,-73.7715,geonames
10516,Cold Spring,Putnam,NY,41.4414,-73.9335,geonames
10517,Crompond,Westchester,NY,41.3006,-73.8612,geonames
10518,Cross River,Westchester,NY,41.2722,-73.6020,geonames
10519,Croton Falls,Westchester,NY,41.3477,-73.6610,geonames
10520,Croton On Hudson,Westchester,NY,41.2180,-73.8924,geonames
10521,Croton On Hudson,Westchester,NY,41.2343,-73.9262,geonames
10522,Dobbs Ferry,Westchester,NY,41.0118,-73.8665,geonames
10523,Elmsford,Westchester,NY,41.0572,-73.8136,geonames
10524,Garrison,Putnam,NY,41.3621,-73.9200,geonames
10526,Goldens Bridge,Westchester,NY,41.3004,-73.6479,geonames
10527,Granite Springs,Westchester,NY,41.3098,-73.7530,geonames
10528,Harrison,Westchester,NY,40.9719,-73.7181,geonames
10530,Hartsdale,Westchester,NY,41.0197,-73.8074,geonames
10532,Hawthorne,Westchester,NY,41.1073,-73.7960,geonames
10533,Irvington,Westchester,NY,41.0381,-73.8597,geonames
10535,Jefferson Valley,Westchester,NY,41.3385,-73.7947,geonames
10536,Katonah,Westchester,NY,41.2709,-73.6841,geonames
10537,Lake Peekskill,Putnam,NY,41.3374,-73.8838,geonames
10538,Larchmont,Westchester,NY,40.9351,-73.7571,geonames
10540,Lincolndale,Westchester,NY,41.3334,-73.7243,geonames
10541,Mahopac,Putnam,NY,41.3717,-73.7508,geonames
10542,Mahopac Falls,Putnam,NY,41.3726,-73.7601,geonames
10543,Mamaroneck,Westchester,NY,40.9525,-73.7350,geonames
10545,Maryknoll,Westchester,NY,41.1190,-73.7330,geonames
10546,Millwood,Westchester,NY,41.2015,-73.7926,geonames
10547,Mohegan Lake,Westchester,NY,41.3143,-73.8508,geonames
10548,Montrose,Westchester,NY,41.2496,-73.9446,geonames
10549,Mount Kisco,Westchester,NY,41.2050,-73.7299,geonames
10550,Mount Vernon,Westchester,NY,40.9079,-73.8380,geonames
10551,Mount Vernon,Westchester,NY,40.9126,-73.8371,geonames
10552,Mount Vernon,Westchester,NY,40.9231,-73.8299,geonames
10553,Mount Vernon,Westchester,NY,40.9086,-73.8221,geonames
10560,North Salem,Westchester,NY,41.3414,-73.5929,geonames
10562,Ossining,Westchester,NY,41.1673,-73.8538,geonames
10566,Peekskill,Westchester,NY,41.2892,-73.9184,geonames
10567,Cortlandt Manor,Westchester,NY,41.2840,-73.8931,geonames
10570,Pleasantville,Westchester,NY,41.1350,-73.7845,geonames
10573,Port Chester,Westchester,NY,41.0222,-73.6798,geonames
10576,Pound Ridge,Westchester,NY,41.2042,-73.5732,geonames
10577,Purchase,Westchester,NY,41.0384,-73.7156,geonames
10578,Purdys,Westchester,NY,41.3259,-73.6551,geonames
10579,Putnam Valley,Putnam,NY,41.3728,-73.8502,geonames
10580,Rye,Westchester,NY,40.9734,-73.6907,geonames
10583,Scarsdale,Westchester,NY,40.9927,-73.7995,geonames
10587,Shenorock,Westchester,NY,41.3287,-73.7423,geonames
10588,Shrub Oak,Westchester,NY,41.3286,-73.8273,geonames
10589,Somers,Westchester,NY,41.3346,-73.6951,geonames
10590,South Salem,Westchester,NY,41.2553,-73.5402,geonames
10591,Tarrytown,Westchester,NY,41.0897,-73.8440,geonames
10594,Thornwood,Westchester,NY,41.1182,-73.7733,geonames
10595,Valhalla,Westchester,NY,41.0856,-73.7776,geonames
10596,Verplanck,Westchester,NY,41.2548,-73.9587,geonames
10597,Waccabuc,Westchester,NY,41.3032,-73.6032,geonames
10598,Yorktown Heights,Westchester,NY,41.2999,-73.7924,geonames
10601,White Plains,Westchester,NY,41.0330,-73.7652,geonames
10602,White Plains,Westchester,NY,41.0340,-73.7629,geonames
10603,White Plains,Westchester,NY,41.0499,-73.7776,geonames
10604,West Harrison,Westchester,NY,41.0592,-73.7395,geonames
10605,White Plains,Westchester,NY,41.0141,-73.7552,geonames
10606,White Plains,Westchester,NY,41.0247,-73.7781,geonames
10607,White Plains,Westchester,NY,41.0398,-73.8117,geonames
10610,White Plains,Westchester,NY,41.1190,-73.7330,geonames
10701,Yonkers,Westchester,NY,40.9461,-73.8669,geonames
10702,Yonkers,Westchester,NY,40.9312,-73.8987,geonames
10703,Yonkers,Westchester,NY,40.9518,-73.8852,geonames
10704,Yonkers,Westchester,NY,40.9176,-73.8593,geonames
10705,Yonkers,Westchester,NY,40.9177,-73.8950,geonames
10706,Hastings On Hudson,Westchester,NY,40.9878,-73.8630,geonames
10707,Tuckahoe,Westchester,NY,40.9569,-73.8198,geonames
10708,Bronxville,Westchester,NY,40.9391,-73.8353,geonames
10709,Eastchester,Westchester,NY,40.9550,-73.8086,geonames
10710,Yonkers,Westchester,NY,40.9656,-73.8434,geonames
10801,New Rochelle,Westchester,NY,40.9166,-73.7877,geonames
10802,New Rochelle,Westchester,NY,40.9115,-73.7824,geonames
10803,Pelham,Westchester,NY,40.9045,-73.8073,geonames
10804,New Rochelle,Westchester,NY,40.9491,-73.7863,geonames
10805,New Rochelle,Westchester,NY,40.9002,-73.7810,geonames
10901,Suffern,Rockland,NY,41.1177,-74.1241,geonames
10910,Arden,Orange,NY,41.2745,-74.1529,geonames
10911,Bear Mountain,Rockland,NY,41.1609,-74.0608,geonames
10912,Bellvale,Orange,NY,41.2504,-74.3107,geonames
10913,Blauvelt,Rockland,NY,41.0626,-73.9629,geonames
10914,Blooming Grove,Orange,NY,41.4093,-74.1951,geonames
10915,Bullville,Orange,NY,41.5443,-74.3615,geonames
10916,Campbell Hall,Orange,NY,41.4430,-74.2505,geonames
10917,Central Valley,Orange,NY,41.3268,-74.1220,geonames
10918,Chester,Orange,NY,41.3554,-74.2651,geonames
10919,Circleville,Orange,NY,41.5244,-74.3850,geonames
10920,Congers,Rockland,NY,41.1487,-73.9413,geonames
10921,Florida,Orange,NY,41.3295,-74.3528,geonames
10922,Fort Montgomery,Orange,NY,41.3346,-73.9917,geonames
10923,Garnerville,Rockland,NY,41.2021,-74.0005,geonames
10924,Goshen,Orange,NY,41.3946,-74.3302,geonames
10925,Greenwood Lake,Orange,NY,41.2101,-74.3033,geonames
10926,Harriman,Orange,NY,41.3005,-74.1249,geonames
10927,Haverstraw,Rockland,NY,41.1971,-73.9690,geonames
10928,Highland Falls,Orange,NY,41.3582,-73.9746,geonames
10930,Highland Mills,Orange,NY,41.3536,-74.1197,geonames
10931,Hillburn,Rockland,NY,41.1240,-74.1702,geonames
10932,Howells,Orange,NY,41.4795,-74.4652,geonames
10933,Johnson,Orange,NY,41.3653,-74.5109,geonames
10940,Middletown,Orange,NY,41.4512,-74.4701,geonames
10941,Middletown,Orange,NY,41.4886,-74.3450,geonames
10949,Monroe,Orange,NY,41.3274,-74.1911,geonames
10950,Monroe,Orange,NY,41.3286,-74.1885,geonames
10952,Monsey,Rockland,NY,41.1163,-74.0736,geonames
10953,Mountainville,Orange,NY,41.4009,-74.0785,geonames
10954,Nanuet,Rockland,NY,41.0977,-74.0109,geonames
10956,New City,Rockland,NY,41.1472,-73.9962,geonames
10958,New Hampton,Orange,NY,41.3627,-74.4435,geonames
10959,New Milford,Orange,NY,41.2345,-74.4138,geonames
10960,Nyack,Rockland,NY,41.0914,-73.9252,geonames
10962,Orangeburg,Rockland,NY,41.0442,-73.9609,geonames
10963,Otisville,Orange,NY,41.4818,-74.5294,geonames
10964,Palisades,Rockland,NY,41.0103,-73.9250,geonames
10965,Pearl River,Rockland,NY,41.0629,-74.0159,geonames
10968,Piermont,Rockland,NY,41.0395,-73.9192,geonames
10969,Pine Island,Orange,NY,41.2926,-74.4888,geonames
10970,Pomona,Rockland,NY,41.1901,-74.0436,geonames
10973,Slate Hill,Orange,NY,41.3760,-74.4847,geonames
10974,Sloatsburg,Rockland,NY,41.1575,-74.2008,geonames
10975,Southfields,Orange,NY,41.2480,-74.1762,geonames
10976,Sparkill,Rockland,NY,41.0256,-73.9229,geonames
10977,Spring Valley,Rockland,NY,41.1158,-74.0474,geonames
10979,Sterling Forest,Orange,NY,41.1823,-74.3184,geonames
10980,Stony Point,Rockland,NY,41.2292,-73.9962,geonames
10981,Sugar Loaf,Orange,NY,41.3232,-74.2886,geonames
10982,Tallman,Rockland,NY,41.1112,-74.0999,geonames
10983,Tappan,Rockland,NY,41.0278,-73.9491,geonames
10984,Thiells,Rockland,NY,41.2078,-74.0154,geonames
10985,Thompson Ridge,Orange,NY,41.5750,-74.3225,geonames
10986,Tomkins Cove,Rockland,NY,41.2598,-73.9892,geonames
10987,Tuxedo Park,Orange,NY,41.1925,-74.2159,geonames
10988,Unionville,Orange,NY,41.3020,-74.5615,geonames
10989,Valley Cottage,Rockland,NY,41.1183,-73.9430,geonames
10990,Warwick,Orange,NY,41.2656,-74.3604,geonames
10992,Washingtonville,Orange,NY,41.4237,-74.1601,geonames
10993,West Haverstraw,Rockland,NY,41.2090,-73.9821,geonames
10994,West Nyack,Rockland,NY,41.0973,-73.9768,geonames
10996,West Point,Orange,NY,41.3945,-73.9737,geonames
10997,West Point,Orange,NY,41.3915,-73.9560,geonames
10998,Westtown,Orange,NY,41.3214,-74.5529,geonames
11001,Floral Park,Nassau,NY,40.7236,-73.7058,geonames
11002,Floral Park,Nassau,NY,40.7237,-73.7049,geonames
11003,Elmont,Nassau,NY,40.6976,-73.7049,geonames
11004,Glen Oaks,Queens,NY,40.7481,-73.7114,geonames
11005,Floral Park,Queens,NY,40.7571,-73.7182,geonames
11010,Franklin Square,Nassau,NY,40.7010,-73.6758,geonames
11020,Great Neck,Nassau,NY,40.7742,-73.7189,geonames
11021,Great Neck,Nassau,NY,40.7867,-73.7270,geonames
11022,Great Neck,Nassau,NY,40.7548,-73.6018,geonames
11023,Great Neck,Nassau,NY,40.7993,-73.7343,geonames
11024,Great Neck,Nassau,NY,40.8171,-73.7416,geonames
11026,Great Neck,Nassau,NY,40.7548,-73.6018,geonames
11027,Great Neck,Nassau,NY,40.8007,-73.7285,geonames
11030,Manhasset,Nassau,NY,40.7934,-73.6888,geonames
11040,New Hyde Park,Nassau,NY,40.7294,-73.6828,geonames
11042,New Hyde Park,Nassau,NY,40.7602,-73.6950,geonames
11050,Port Washington,Nassau,NY,40.8350,-73.6964,geonames
11051,Port Washington,Nassau,NY,40.7548,-73.6018,geonames
11052,Port Washington,Nassau,NY,40.7548,-73.6018,geonames
11053,Port Washington,Nassau,NY,40.7548,-73.6018,geonames
11054,Port Washington,Nassau,NY,40.7548,-73.6018,geonames
11055,Port Washington,Nassau,NY,40.7548,-73.6018,geonames
11096,Inwood,Nassau,NY,40.6205,-73.7474,geonames
11099,New Hyde Park,Nassau,NY,40.7548,-73.6018,nursedex_launch_seed
11101,Long Island City,Queens,NY,40.7446,-73.9345,geonames
11102,Astoria,Queens,NY,40.7706,-73.9265,geonames
11103,Astoria,Queens,NY,40.7627,-73.9149,geonames
11104,Sunnyside,Queens,NY,40.7436,-73.9216,geonames
11105,Astoria,Queens,NY,40.7763,-73.9110,geonames
11106,Astoria,Queens,NY,40.7608,-73.9295,geonames
11109,Long Island City,Queens,NY,40.7454,-73.9575,geonames
11120,Long Island City,Queens,NY,40.7448,-73.9487,geonames
11201,Brooklyn,Kings,NY,40.6940,-73.9903,geonames
11202,Brooklyn,Kings,NY,40.6451,-73.9450,geonames
11203,Brooklyn,Kings,NY,40.6505,-73.9349,geonames
11204,Brooklyn,Kings,NY,40.6179,-73.9856,geonames
11205,Brooklyn,Kings,NY,40.6924,-73.9666,geonames
11206,Brooklyn,Kings,NY,40.7012,-73.9436,geonames
11207,Brooklyn,Kings,NY,40.6705,-73.8940,geonames
11208,Brooklyn,Kings,NY,40.6762,-73.8736,geonames
11209,Brooklyn,Kings,NY,40.6251,-74.0303,geonames
11210,Brooklyn,Kings,NY,40.6281,-73.9467,geonames
11211,Brooklyn,Kings,NY,40.7095,-73.9563,geonames
11212,Brooklyn,Kings,NY,40.6625,-73.9145,geonames
11213,Brooklyn,Kings,NY,40.6700,-73.9367,geonames
11214,Brooklyn,Kings,NY,40.6016,-73.9968,geonames
11215,Brooklyn,Kings,NY,40.6669,-73.9828,geonames
11216,Brooklyn,Kings,NY,40.6794,-73.9496,geonames
11217,Brooklyn,Kings,NY,40.6816,-73.9798,geonames
11218,Brooklyn,Kings,NY,40.6424,-73.9758,geonames
11219,Brooklyn,Kings,NY,40.6336,-73.9960,geonames
11220,Brooklyn,Kings,NY,40.6412,-74.0133,geonames
11221,Brooklyn,Kings,NY,40.6907,-73.9274,geonames
11222,Brooklyn,Kings,NY,40.7272,-73.9498,geonames
11223,Brooklyn,Kings,NY,40.5979,-73.9743,geonames
11224,Brooklyn,Kings,NY,40.5767,-73.9884,geonames
11225,Brooklyn,Kings,NY,40.6628,-73.9546,geonames
11226,Brooklyn,Kings,NY,40.6467,-73.9570,geonames
11228,Brooklyn,Kings,NY,40.6174,-74.0121,geonames
11229,Brooklyn,Kings,NY,40.6011,-73.9475,geonames
11230,Brooklyn,Kings,NY,40.6225,-73.9650,geonames
11231,Brooklyn,Kings,NY,40.6794,-74.0014,geonames
11232,Brooklyn,Kings,NY,40.6521,-74.0018,geonames
11233,Brooklyn,Kings,NY,40.6784,-73.9211,geonames
11234,Brooklyn,Kings,NY,40.6205,-73.9239,geonames
11235,Brooklyn,Kings,NY,40.5839,-73.9536,geonames
11236,Brooklyn,Kings,NY,40.6407,-73.9028,geonames
11237,Brooklyn,Kings,NY,40.7006,-73.9180,geonames
11238,Brooklyn,Kings,NY,40.6790,-73.9644,geonames
11239,Brooklyn,Kings,NY,40.6497,-73.8824,geonames
11241,Brooklyn,Kings,NY,40.6451,-73.9450,geonames
11242,Brooklyn,Kings,NY,40.6451,-73.9450,geonames
11243,Brooklyn,Kings,NY,40.6451,-73.9450,geonames
11245,Brooklyn,Kings,NY,40.6451,-73.9450,geonames
11247,Brooklyn,Kings,NY,40.6451,-73.9450,geonames
11249,Brooklyn,Kings,NY,40.6451,-73.9450,geonames
11251,Brooklyn,Kings,NY,40.6451,-73.9450,geonames
11252,Brooklyn,Kings,NY,40.6451,-73.9450,geonames
11256,Brooklyn,Kings,NY,40.6451,-73.9450,geonames
11351,Flushing,Queens,NY,40.7817,-73.8317,geonames
11352,Flushing,Queens,NY,40.6514,-73.8708,geonames
11354,Flushing,Queens,NY,40.7667,-73.8241,geonames
11355,Flushing,Queens,NY,40.7536,-73.8226,geonames
11356,College Point,Queens,NY,40.7855,-73.8450,geonames
11357,Whitestone,Queens,NY,40.7851,-73.8096,geonames
11358,Flushing,Queens,NY,40.7606,-73.7968,geonames
11359,Bayside,Queens,NY,40.7928,-73.7767,geonames
11360,Bayside,Queens,NY,40.7807,-73.7812,geonames
11361,Bayside,Queens,NY,40.7627,-73.7745,geonames
11362,Little Neck,Queens,NY,40.7591,-73.7326,geonames
11363,Little Neck,Queens,NY,40.7722,-73.7454,geonames
11364,Oakland Gardens,Queens,NY,40.7428,-73.7588,geonames
11365,Fresh Meadows,Queens,NY,40.7374,-73.7951,geonames
11366,Fresh Meadows,Queens,NY,40.7272,-73.7949,geonames
11367,Flushing,Queens,NY,40.7280,-73.8195,geonames
11368,Corona,Queens,NY,40.7453,-73.8611,geonames
11369,East Elmhurst,Queens,NY,40.7613,-73.8739,geonames
11370,East Elmhurst,Queens,NY,40.7611,-73.8916,geonames
11371,Flushing,Queens,NY,40.7721,-73.8735,geonames
11372,Jackson Heights,Queens,NY,40.7513,-73.8830,geonames
11373,Elmhurst,Queens,NY,40.7351,-73.8776,geonames
11374,Rego Park,Queens,NY,40.7278,-73.8602,geonames
11375,Forest Hills,Queens,NY,40.7229,-73.8473,geonames
11377,Woodside,Queens,NY,40.7450,-73.9069,geonames
11378,Maspeth,Queens,NY,40.7239,-73.8997,geonames
11379,Middle Village,Queens,NY,40.7173,-73.8792,geonames
11380,Elmhurst,Queens,NY,40.7365,-73.8779,geonames
11381,Flushing,Queens,NY,40.6514,-73.8708,geonames
11385,Ridgewood,Queens,NY,40.7036,-73.8961,geonames
11386,Ridgewood,Queens,NY,40.7001,-73.9057,geonames
11405,Jamaica,Queens,NY,40.6514,-73.8708,geonames
11411,Cambria Heights,Queens,NY,40.6947,-73.7374,geonames
11412,Saint Albans,Queens,NY,40.6958,-73.7617,geonames
11413,Springfield Gardens,Queens,NY,40.6645,-73.7559,geonames
11414,Howard Beach,Queens,NY,40.6588,-73.8438,geonames
11415,Kew Gardens,Queens,NY,40.7069,-73.8297,geonames
11416,Ozone Park,Queens,NY,40.6838,-73.8514,geonames
11417,Ozone Park,Queens,NY,40.6769,-73.8448,geonames
